代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
603656.SH,泰禾光电,许大红,个人,"许大红先生,1976年出生,中国国籍,无境外永久居留权;大专学历,EMBA在读.曾任合肥神龙变压器厂技术组长,车间主任,技术部经理,肥西县宏源电气有限公司总经理,合肥桑夏光电设备有限公司总经理,合肥桑美光电科技集团有限公司执行董事兼总经理;现任本公司董事长,总经理.",CSRC专用设备制造业,Wind资本货物
603658.SH,安图生物,苗拥军,个人,苗拥军：男，中国国籍，无境外居留权。身份证号：410103196712******，住址：郑州市金水区鑫苑路18号。,CSRC医药制造业,Wind制药、生物科技与生命科学
603660.SH,苏州科达,陈冬根,个人,陈冬根先生，1964年出生，中国国籍，无永久境外居留权，本科学历。1985年至1995年先后担任吴县农具厂技术员、技术科长；1995年至2003年就职于吴县市通信铁塔厂；2000年起在科达通信先后担任董事、董事长、执行董事职务；2004年起担任百慕大科达、信博国际的董事和科达有限董事长。现任本公司董事长、特种视讯执行董事、科远软件董事长、上海泓鎏董事。,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
603663.SH,三祥新材,夏鹏,个人,夏鹏先生，身份证号码352229196011XXXXXX，中国国籍，无永久境外居留权。现任发行人董事长兼总经理。,CSRC非金属矿物制品业,Wind材料Ⅱ
603663.SH,三祥新材,吴世平,个人,吴世平先生，身份证号码352229196007XXXXXX，中国国籍，无永久境外居留权。现任发行人董事、杨梅州电力经理。,CSRC非金属矿物制品业,Wind材料Ⅱ
603663.SH,三祥新材,卢庄司,境外,卢庄司先生，护照号码JA10147XX，韩国国籍。现任发行人副董事长。,CSRC非金属矿物制品业,Wind材料Ⅱ
603665.SH,康隆达,张间芳,个人,张间芳先生，身份证号码：33062219630822****，中国国籍，无境外永久居留权，本科学历，经济师。曾先后任职于浙江省上虞市财政税务局、浙江新杜邦化纤集团有限公司；2000年10月至2008年6月担任上虞东大针织有限公司董事长兼总经理；至2011年9月担任康隆达有限董事长（执行董事）兼总经理；2011年9月至今任本公司董事长兼总经理。,CSRC纺织业,Wind耐用消费品与服装
603665.SH,康隆达,张惠莉,个人,张惠莉女士，身份证号码：33062219620705xxxx，中国国籍，无境外永久居留权，高中学历。1982年2月至1983年2月任浙江省上虞市章镇区针织厂统计员；1983年3月至1987年9月任上虞市章镇区工业办事处统计员；1987年10月至1992年5月任上虞金属压延厂保管员；1992年6月至2012年7月任上虞农副产品批发交易市场统计员；2012年8月至今未担任任何职务。,CSRC纺织业,Wind耐用消费品与服装
603665.SH,康隆达,张家地,个人,张家地先生，身份证号码：33068219871108xxxx，中国国籍，无境外永久居留权，硕士研究生学历。曾于2011年1月至2011年9月担任康隆达有限副董事长。2014年9月毕业于英国皇后玛丽学院，2014年10月起任本公司董事兼董事长助理。,CSRC纺织业,Wind耐用消费品与服装
603667.SH,五洲新春,俞越蕾,个人,"女,汉族,1964年1月出生;中国国籍,无境外永久居留权;中共党员;大专学历,会计师.1981年至1999年先后任新昌造纸厂团总支书记,浙江新春轴承有限公司会计,浙江新天轴承有限公司财务部经理等,1999年至2012年先后任新昌县五洲实业有限公司副总经理,浙江五洲新春集团有限公司财务总监,党委副书记,董事,2012年至今任浙江五洲新春集团股份有限公司董事,财务总监,党委副书记.同时担任第一届中国轴承工业协会市场工作委员会成本价格专家委员,浙商财智女人会执行会长,新昌女企业家协会副会长,木兰爱心基金秘书长,绍兴市第五次和第六次妇女代表大会代表,新昌县第十二次和第十三次党代会代表,2008年还获得浙江省三八红旗手,2010年获得浙江省三八红旗手标兵,多次获得浙江省巾帼建功标兵等荣誉,多次被评为新昌县关心下一代帮困助学先进个人.",CSRC通用设备制造业,Wind资本货物
603667.SH,五洲新春,张峰,个人,"男,汉族,1963年7月出生;中国国籍,无境外永久居留权;中共党员;本科学历,高级经营师.1981年至1984年任新昌轴承总厂团委书记,1985年至1987年在浙江省委党校脱产学习,1988年至1990年任新昌团县委副书记,1990年至1992年任新昌团县委副书记,新昌丝织总厂党委副书记,1992年至1998年任新昌外贸局副局长兼外贸公司副总经理,1998年至2002年任浙江新春轴承有限公司总经理,2002年至2011年任浙江五洲新春集团有限公司总经理,2011年至2012年任浙江五洲新春集团有限公司董事长,总经理,2012年至今任浙江五洲新春集团股份有限公司董事长,总经理.张峰同时担任中国轴承工业协会常务理事及特聘企业管理专家,浙江省轴承工业协会理事长,浙商全国理事会主席团主席,绍兴市人大代表,绍兴市民营企业协会副会长,还获得中国轴承行业“十一五”期间行业发展领军人物称号,2007浙商创新奖,绍兴市优秀中国特色社会主义事业建设者等荣誉.",CSRC通用设备制造业,Wind资本货物
603668.SH,天马科技,陈庆堂,个人,"陈庆堂:男,1968年生,中国国籍,无境外居留权,博士学位.2010中国饲料企业优秀创新人才,福建省科技创业领军人才,福建省优秀企业家,福州市第三十一届劳动模范,本公司主要创始人.曾任天马饲料董事长,总经理,天马有限董事长,总经理;现任本公司董事长,总经理,天马投资监事,厦门金屿执行董事.陈庆堂先生目前担任福建省人大代表,泉州市泉港区政协副主席,泉州市泉港区工商联总商会主席(会长),中国渔业协会鳗业工作委员会副会长,福建省饲料工业协会副会长,福建省水产饲料同业协会副会长,福建省饲料研究会副理事长,集美大学水产学院客座教授.",CSRC农副食品加工业,Wind食品、饮料与烟草
603669.SH,灵康药业,陶灵刚,个人,"陶灵刚先生,1968 年生,中国国籍,无境外永久居留权,毕业于中南财经政法大学,硕士学位,为海南省第六届政协委员,第五届民建海南省委常委.陶灵刚先生自2003 年12 月起历任公司董事长,总经理,现任公司董事,总经理.陶灵刚先生曾获“海南省第三届十大专利发明人”,“海南中小企业发展十大杰出创业人物”等称号,因主持开发注射用丙氨酰谷氨酰胺及其制备方法项目被海口市政府评为海口市科技进步一等奖(第一完成人),主持开发注射用果糖及其制备方法项目被海口市政府评为海口市科技进步三等奖(第一完成人).",CSRC医药制造业,Wind制药、生物科技与生命科学
603669.SH,灵康药业,陶灵萍,个人,"陶灵萍女士,1970 年生,中国国籍,无境外永久居留权,毕业于中南财经政法大学,硕士学位,高级经济师.陶灵萍女士自2003 年12 月起历任公司副董事长,董事长,现任公司董事长,灵康控股董事长兼总经理.",CSRC医药制造业,Wind制药、生物科技与生命科学
603677.SH,奇精机械,汪永琪,个人,汪永琪先生：1952年生，中国国籍，无永久境外居留权，身份证号：33022619520923****，住址：浙江省宁海县长街镇大湖村24组。曾获宁波市劳动模范、宁波市优秀中国特色社会主义事业建设者称号，历任三永机械董事长、东源金属董事、宁尊机械执行董事兼总经理，现任本公司董事长，兼任孝明电子董事长兼总经理、奇精控股执行董事兼总经理、榆林金属董事、安徽奇精执行董事、华信小贷董事、华锦商务董事、上海玖征监事、博思韦精密执行董事。,CSRC电气机械及器材制造业,Wind资本货物
603677.SH,奇精机械,汪兴琪,个人,汪兴琪先生：1963年生，中国国籍，无永久境外居留权，身份证号：33022619630221****，住址：浙江省宁海县长街镇大湖村24组。历任长街大湖油厂厂长、榆林金属总经理、振兴机械执行事务合伙人、宁尊机械监事，现任本公司董事兼副总经理，兼任孝明电子董事、榆林金属董事、安徽奇精监事。,CSRC电气机械及器材制造业,Wind资本货物
603677.SH,奇精机械,汪东敏,个人,汪东敏先生：1979年生，中国国籍，无永久境外居留权，身份证号：33022619790925****，住址：浙江省宁海县跃龙街道安居巷123号。曾任奇精有限监事、安徽奇精董事、东源金属董事长、搜美电子监事，现任本公司董事，兼任孝明电子监事、榆林金属监事。,CSRC电气机械及器材制造业,Wind资本货物
603677.SH,奇精机械,汪伟东,个人,汪伟东先生：1976年生，中国国籍，无永久境外居留权，身份证号：33022619761105****，住址：浙江省宁海县跃龙街道安居巷141号。历任奇精有限监事、东源金属董事、安徽奇精董事、搜美网络执行董事兼总经理、爱谷电器执行董事兼总经理、搜美电子执行董事兼总经理、华锦商务总经理，现任本公司董事兼总经理，兼任孝明电子董事、榆林金属监事、安徽奇精总经理、博思韦精密总经理。,CSRC电气机械及器材制造业,Wind资本货物
603678.SH,火炬电子,蔡明通,个人,"蔡明通:男,中国国籍,无境外永久居留权,1952年2月出生,高中学历,高级工程师.总装备部军用电子元器件标准化技术委员会委员,荣获“2008年度泉州市优秀中国特色社会主义事业建设者”,“纪念改革开放30周年泉州市优秀经济人物”称号;泉州市十四届,十五届人大代表,泉州市鲤城区工商联名誉会长,泉州市鲤城区江南商会会长,泉州市凌霄中学第六届董事会董事长,泉州市电子学会副理事长,泉州市信息产业协会副会长,泉州企业与企业家联合会第二届理事会理事.曾任:泉州市凌霄中学教师,泉州市江南无线电厂技术员,火炬电子厂厂长,泉州火炬总经理.现任:泉州市永元物流发展有限公司执行董事,本公司董事长.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603678.SH,火炬电子,蔡劲军,个人,"蔡劲军:男,中国国籍,无境外永久居留权,1978年6月出生,EMBA在读.泉州市鲤城区第八届政协委员.荣获“2010年福建省五一劳动奖章”荣誉称号.曾任:泉州火炬副总经理,总经理,火炬电子厂副总经理,火炬电子副总经理.现任:立亚特陶董事长,经理,厦门雷度执行董事,苏州雷度执行董事,火炬国际董事,本公司副董事长,总经理.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603686.SH,龙马环卫,张桂丰,个人,"张桂丰先生,1963年出生,中国国籍,无境外永久居留权,本科学历,教授级高级工程师;1984年参加工作,曾先后担任福建龙马集团龙岩拖拉机厂技术科技术员,研究所所长,总工程师,副总经理,2002年3月先后担任龙马有限总经理,董事长;曾先后获得闽西十大优秀企业家,全国机械行业优秀企业家,海西产业人才高地领军人物等称号;现任本公司董事长,总经理,龙岩市政协委员,龙岩经济开发区企业与企业家联合协会会长.",CSRC专用设备制造业,Wind资本货物
603688.SH,石英股份,陈士斌,个人,"陈士斌先生,中国国籍,无境外永久居留权,身份证号为3207221966110 8****,住所为江苏省连云港市新浦区通灌南路66号.为本公司控股股东及实际控制人.",CSRC非金属矿物制品业,Wind材料Ⅱ
603689.SH,皖天然气,安徽省人民政府国有资产监督管理委员会,地方国资委,"安徽省国资委持有皖能集团100%的股权,为公司的实际控制人.",CSRC燃气生产和供应业,Wind能源Ⅱ
603690.SH,至纯科技,蒋渊,个人,"1975年生,中国国籍,EMBA,无境外居留权;1995年至1998年在上海市静安区经贸委宣传科任科员;1998年至2000年在凯耐第斯工艺系统(上海)有限公司销售中心任职,最后职位为营销总监;2000年至今担任公司总经理,2011年9月至今兼任公司董事长.2011年获得上海市闵行区领军人才称号;2012年获得APEC中小企业峰会组委会颁发的“2012渣打银行中国成长企业价值榜”年度女性管理奖.",CSRC专用设备制造业,Wind资本货物
603696.SH,安记食品,林肖芳,境外,林肖芳先生，公司董事长兼总经理，1963年2月出生，香港永久性居民。,CSRC食品制造业,Wind食品、饮料与烟草
603698.SH,航天工程,中国航天科技集团公司,中央国有企业,中国航天科技集团公司单位负责人或法定代表人：雷凡培，成立日期：1999-07-01，主要经营业务：运载火箭、人造卫星、载人飞船和战略、战术导弹武器系统的研究、设计、生产和发射，专营国际商业卫星发射服务，以及卫星应用、信息技术、新材料与新能源、航天特种技术应用、特种车辆及零部件、空间生物等领域的研究与发展。,CSRC专业技术服务业,Wind资本货物
603699.SH,纽威股份,王保庆,个人,"王保庆：1957年10月出生,1982年至1997年任苏州阀门厂副厂长,1997年至今任苏州正和投资有限公司董事长,2004年至今任纽威数控装备(苏州)有限公司(该公司前身为苏州纽威机械有限公司,2009年8月更名为现名)董事、总经理,2002年至今历任苏州纽威铸造有限公司董事、董事长,2005年至今任纽威工业材料(苏州)有限公司董事长,2006年至今任纽威工业材料(大丰)有限公司董事长,2011年至今任吴江市东吴机械有限责任公司董事长,2002年至今任本公司董事长。",CSRC通用设备制造业,Wind资本货物
603699.SH,纽威股份,程章文,个人,"程章文：1965年1月出生,1986年至1996年先后供职于沈阳机械设备进出口公司、上海盛京国际贸易公司,1997年至今任苏州正和投资有限公司董事、副总经理,1997年至今任纽威数控装备(苏州)有限公司董事长,2002年至今任苏州纽威铸造有限公司董事,2005年至今任纽威工业材料(苏州)有限公司董事、总经理,2009年至今任纽威工业材料(大丰)有限公司监事,2002年至今任本公司董事、副总经理。",CSRC通用设备制造业,Wind资本货物
603699.SH,纽威股份,陆斌,个人,"陆斌：1960年8月出生,1983年至1996年任苏州阀门厂科长,1997年至今任苏州正和投资有限公司董事、总经理,1997年至今任纽威数控装备(苏州)有限公司董事,2002年至今任苏州纽威铸造有限公司董事,2005年至今任纽威工业材料(苏州)有限公司董事,2006年至今历任纽威工业材料(大丰)有限公司监事、董事,2011年至今任吴江市东吴机械有限责任公司董事,2002年至今任本公司董事、总经理。",CSRC通用设备制造业,Wind资本货物
603699.SH,纽威股份,席超,个人,"席超：1958年8月出生,1982年至1997年就职于苏州阀门厂,1997年至今任苏州正和投资有限公司董事、副总经理,1997年至今任纽威数控装备(苏州)有限公司董事,2002年至今历任苏州纽威铸造有限公司董事长、董事,2005年至今任纽威工业材料(苏州)有限公司董事,2006年至今任纽威工业材料(大丰)有限公司董事,2002年至今任本公司董事、副总经理。",CSRC通用设备制造业,Wind资本货物
603701.SH,德宏股份,张元园,个人,张元园身份证号33050219510220****住所浙江省湖州市吴兴区,CSRC电气机械及器材制造业,Wind汽车与汽车零部件
603701.SH,德宏股份,张宏保,个人,张宏保身份证号33050219480531****住所浙江省湖州市吴兴区,CSRC电气机械及器材制造业,Wind汽车与汽车零部件
603703.SH,盛洋科技,叶利明,个人,"身份证号码为33060219591002****,中国国籍,无境外永久居留权,住所为浙江省绍兴市越城区森海豪庭.叶利明先生自2003年以来一直担任公司及前身企业的法定代表人,现任公司董事长兼总经理,系发行人实际控制人之一.",CSRC电气机械及器材制造业,Wind资本货物
603703.SH,盛洋科技,徐凤娟,个人,"身份证号码为33060219610305****,中国国籍,无境外永久居留权,住所为浙江省绍兴市越城区森海豪庭.徐凤娟女士长期担任公司及前身企业的重要职务,现任公司副总经理,系发行人实际控制人之一.",CSRC电气机械及器材制造业,Wind资本货物
603708.SH,家家悦,王培桓,个人,"王培桓先生,1955年出生,中国国籍,无境外永久居留权,本科学历,高级经济师,现任本公司董事长兼总经理.山东省第十届,第十一届人大代表,中国连锁经营协会副会长.曾获“山东省改革开放三十年功勋企业家”,“全国质量管理先进工作者”,“中国零售业年度人物”,“中国连锁年度风云人物”,“中国连锁业突出成就奖”.历任文登县烟酒公司业务员,副经理,文登县副食品公司副经理,经理,山东省威海市糖茶酒类公司副经理,经理,党支部书记,糖酒站董事长,总经理,家家悦有限董事长,总经理.",CSRC零售业,Wind食品与主要用品零售Ⅱ
603716.SH,塞力斯,温伟,个人,"董事长兼总经理,中国国籍,无境外永久居留权,1969年出生,毕业于天津医科大学医学检验专业,华中科技大学EMBA在读.温伟先生曾任职于珠海富华生物制药公司;现任公司董事长,总经理,天津瑞美董事长,塞力斯生物执行董事及总经理,郑州朗润执行董事,湖南捷盈执行董事,武汉市工商联执行委员.温伟先生一直从事医疗检验行业,具有丰富的医疗检验行业经验.",CSRC批发业,Wind制药、生物科技与生命科学
603717.SH,天域生态,罗卫国,个人,"罗卫国先生:1970年出生,中国国籍,无境外永久居留权,华中农业大学本科毕业,工程师.1994年7月至2000年6月在南海石油深圳开发服务总公司工作;2000年6月至2013年12月,历任重庆市天域园林艺术有限公司执行董事,董事长,总经理;2013年12月至今,任公司董事长,总经理.",CSRC土木工程建筑业,Wind资本货物
603717.SH,天域生态,史东伟,个人,"史东伟先生:1967年出生,中国国籍,无境外永久居留权,黄石职业大学专科毕业,工程师.1987年7月至1998年3月,在湖北黄石市政园林设计院工作;1998年3月-2000年3月在深圳市农科园林公司工作;2000年6月至2013年12月,任重庆市天域园林艺术有限公司副总经理;2013年12月至今,任公司副董事长,副总经理,上海天夏总经理.",CSRC土木工程建筑业,Wind资本货物
603718.SH,海利生物,张海明,个人,"1961年出生,男,中国国籍,拥有境外永久居留权(法国);工商管理硕士.张海明先生曾在上海沪东造船厂工作;1989年赴法国留学深造,在里尔第三大学语言文学系学习;曾任上海市对外投资促进中心驻法国巴黎代表处首席代表;1999年创立上海豪园科技发展有限公司;现任公司董事长,上海豪园执行董事,杨凌金海董事长,通和资本合伙人,通和创投合伙人.",CSRC医药制造业,Wind制药、生物科技与生命科学
603726.SH,朗迪集团,高炎康,个人,"高炎康,中国国籍,无境外永久居留权,中共党员,经济师职称,本公司控股股东,实际控制人,现任公司董事长兼总经理.自1998年3月起一直任朗迪集团董事会成员,2014年1月经朗迪集团2014年第一次临时股东大会选举为朗迪集团第四届董事会董事,并经朗迪集团第四届董事会第一次会议选举为朗迪集团董事长,任期三年.1983年12月至1993年12月任余姚市电视机配件二厂厂长;1993年10月至1997年12月任余姚市朗迪空调配件厂厂长;1993年7月至2002年4月任宁波朗迪塑胶制品有限公司董事长兼总经理;1998年3月作为主要发起人发起设立了浙江格林特,1998年3月至2000年6月任浙江格林特副董事长,2000年7月至今任朗迪集团董事长兼总经理.高炎康先生多年以来一直致力于企业发展,对拉动地区的经济发展和就业情况作出了很大的贡献,并乐于承担相应的社会责任,多次荣获“余姚市优秀党务工作者”,“余姚市优秀共产党员”,“余姚市优秀中国特色社会主义事业建设者”,“余姚市优秀企业经营者”,“宁波市优秀共产党员”等荣誉称号.现任余姚市慈善总会荣誉理事,余姚市企业联合会,余姚市企业家协会常务理事,并连任余姚市第十五届,第十六届人大代表.",CSRC橡胶和塑料制品业,Wind资本货物
603727.SH,博迈科,彭文成,个人,"彭文成,男,1965年出生,中国国籍,无境外永久居留权,身份证号码12010719650727****,住址为天津市塘沽区,北京大学EMBA.1987年至1993年就职于中海石油平台制造有限公司,曾任生产技术室副主任,项目经理;1993年至1996年任成泰工贸董事长,总经理;1996年至2012年任渤油有限执行董事,董事长,总经理;2012年至今任发行人董事长,总经理,兼任天津博迈科执行董事,经理,香港博迈科董事,成泰工贸监事,海洋工程(香港)董事,成泰工程执行董事,中交博迈科副董事长.",CSRC开采辅助活动,Wind能源Ⅱ
603728.SH,鸣志电器,傅磊,个人,傅磊女士，1966年出生，中国国籍，拥有美国永久居留权；身份证号码为：31010719660728****；大学专科学历；住所为上海市黄浦区马当路。傅磊女士现任发行人董事。,CSRC电气机械及器材制造业,Wind资本货物
603728.SH,鸣志电器,常建鸣,个人,常建鸣先生，1965年出生，中国国籍，拥有美国永久居留权，上海交通大学本科毕业。常建鸣先生曾任上海一〇一厂工艺工程师，上海施乐复印机有限公司采购部经理，上海福士达电子有限公司副总经理，上海鸣志科技有限公司总经理，上海鸣志精密机电有限公司总经理。1998年创立鸣志有限并担任董事长兼总裁至今。现任公司董事长、总裁，鸣志国贸执行董事等职务。,CSRC电气机械及器材制造业,Wind资本货物
603729.SH,龙韵股份,方小琴,个人,"方小琴,女,身份证号码:3408221972********,中国国籍,住所为安徽省安庆市宜城路110号5栋,拥有加拿大永久居留权;大专学历,毕业于安徽中医学院药学专业,已取得中药师和广告审计员资格证书,主要工作经历为:1995年7月至2000年5月为安庆市药品监督局从事药品检验工作,过去五年工作经历为:2007年11月至今任鸿图大洋执行董事.",CSRC商务服务业,Wind媒体Ⅱ
603729.SH,龙韵股份,段佩璋,个人,"段佩璋先生:董事长,总经理 1972年出生,中国国籍,拥有加拿大永久居留权,汉族,本科学历.1996年-2000年任北京东方大地广告传播有限公司业务总监;2000年-2002年任合肥爱的广告传播有限公司执行董事;2003年创办龙韵有限并任执行董事,现任本公司董事长,总经理.",CSRC商务服务业,Wind媒体Ⅱ
603737.SH,三棵树,洪杰,个人,洪杰先生，中国国籍，福建省莆田市人，1967年10月9日出生，身份证号为350302196710******，住所为福建省莆田市城厢区。,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
603738.SH,泰晶科技,喻信辉,个人,,CSRC其他制造业,Wind技术硬件与设备
603738.SH,泰晶科技,何虎,个人,,CSRC其他制造业,Wind技术硬件与设备
603738.SH,泰晶科技,喻信东,个人,"喻信东:1965年10月出生,中国国籍,无境外永久居留权.1988年6月毕业于武汉理工大学机械系,2007年1月获得清华大学工商管理硕士学位.1991年1月至1998年6月,任中国(深圳)对外贸易中心业务科长和总经理助理;1998年7月至2004年1月,任深圳市果菜贸易有限公司进出口部经理;2004年7月至今,任泰晶实业董事长和总经理;2005年11月至今,任泰晶科技董事长和总经理.喻信东先生为国家电子行业标准《10kHz-200kHz音叉石英晶体元件的测试方法和标准值》(SJ/T10015-2013)的主要起草人之一.",CSRC其他制造业,Wind技术硬件与设备
603738.SH,泰晶科技,王丹,个人,,CSRC其他制造业,Wind技术硬件与设备
603758.SH,秦安股份,YUANMING TANG,境外,"YUANMING TANG先生,1957年2月出生,2006年取得加拿大国籍,本科学历.历任国营204厂总装车间副主任,北碚缙云摩托车配件厂副总经理,重庆泰安发动机研究所所长,泰安机电总经理,秦安有限董事长,总经理,秦安铸造总经理等职.现任本公司董事长,总经理,秦安铸造董事长.",CSRC汽车制造业,Wind汽车与汽车零部件
603766.SH,隆鑫通用,涂建华,个人,"涂建华：现任公司第二届董事会董事,2009年至2013年12月任隆鑫集团有限公司董事长，2009年至2010年7月、2013年2月至2013年12月任隆鑫控股有限公司董事长。2009年至今任隆鑫集团有限公司、隆鑫控股有限公司董事，2014年至今任渝商投资集团股份有限公司董事长，2015年4月至今任齐合天地集团有限公司董事主席、执行董事。",CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind汽车与汽车零部件
603768.SH,常青股份,吴应宏,个人,"吴应宏先生,男,1968年出生.曾任合肥常青汽车配件厂质检科副科长,设备科科长,合肥常青机械厂厂长,合肥常青机械制造有限责任公司总经理,执行董事等职,现任发行人董事长,安徽常美置业有限公司执行董事兼总经理,安徽金财投资有限公司执行董事兼总经理等职.",CSRC汽车制造业,Wind汽车与汽车零部件
603768.SH,常青股份,朱慧娟,个人,"朱慧娟女士,女,1972年出生.曾任合肥常菱汽车零部件有限公司执行董事等职,现任发行人董事.",CSRC汽车制造业,Wind汽车与汽车零部件
603777.SH,来伊份,施永雷,个人,"施永雷先生,男,中国国籍,无永久境外居留权,上海交通大学EMBA,身份证号码:320626197401******,住所:上海市徐汇区.1999年设立上海雷芬贸易有限公司并任经理,2002年设立来伊份前身爱屋食品,并曾担任执行董事,经理,监事.2010年至今担任爱屋企管执行董事,经理.2012年12月至今担任来伊份董事长.",CSRC零售业,Wind食品与主要用品零售Ⅱ
603777.SH,来伊份,郁瑞芬,个人,"郁瑞芬女士,女,中国国籍,无永久境外居留权,复旦大学EMBA,身份证号码:320624197303******,住所:上海市徐汇区.2002年参与创立爱屋食品并担任副经理,2010年1月起担任总经理,2010年9月至今担任来伊份总裁,2010年9月至2012年12月担任来伊份董事长,2012年12月至今担任来伊份董事,总裁.",CSRC零售业,Wind食品与主要用品零售Ⅱ
603777.SH,来伊份,施辉,个人,"施辉先生,男,中国国籍,无永久境外居留权,身份证号码:320626195209******,住所:江苏省启东市惠萍镇.2002年参与创立爱屋食品,先后担任监事,执行董事.2010年9月至2013年11月担任公司董事,2011年1月至2013年11月担任公司内控经理.",CSRC零售业,Wind食品与主要用品零售Ⅱ
603778.SH,乾景园林,回全福,个人,"董事长,男,1966年出生,本科学历,高级工程师.历任大化集团有限责任公司绿化科科员,大连三星园林执行董事,大连乾景集团董事长兼总经理,大连乾景设计执行董事,经理,大连乾景监理执行董事,经理,大连乾景苗木执行董事,经理,大连中山友好花店负责人,北京怡景嘉执行董事,经理,原野春秋执行董事,经理,乾景进出口执行董事,经理,北京乾景执行董事,总经理;自2002年11月本公司前身乾景工程成立起,担任乾景工程执行董事,总经理,现任本公司董事长兼总经理,同时兼任本公司合肥分公司,长沙分公司,贵阳分公司负责人,本公司子公司大连乾璟执行董事,总经理,乾景进出口执行董事.",CSRC土木工程建筑业,Wind商业和专业服务
603778.SH,乾景园林,杨静,个人,"副董事长,女,1974年出生,本科学历.曾任职于北京安定医院,历任原野春秋执行董事,经理,乾景进出口监事,北京怡景嘉监事,江苏乾景执行董事,总经理,北京乾景监事,2002年11月至2011年7月担任乾景工程监事;2011年7月至今担任本公司副董事长;现任乾景进出口总经理,本公司子公司乾景陌野执行董事,总经理.",CSRC土木工程建筑业,Wind商业和专业服务
603779.SH,威龙股份,王珍海,个人,"中国公民,男,1959年11月出生,无长期境外居留权.中共党员,大专学历,山东省人大代表,烟台市工商联副主席,龙口市工商联主席,中国酒业协会葡萄酒分会第四届副理事长,中国食品工业协会常务理事.曾荣获国际金葡萄创业奖,全国酿酒行业百名先进个人,葡萄与葡萄酒行业杰出贡献奖,山东省劳动模范,烟台市优秀共产党员,优秀劳动模范等荣誉称号.曾任葡萄酒国家级评委,烟台威龙董事长兼总经理,公司董事长,总经理.现任公司董事长.",CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
603787.SH,新日股份,陈玉英,个人,"陈玉英:1969年8月出生,现任本公司董事.2010年荣获“上海世博会‘世博城市之星’”称号.",CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装
603787.SH,新日股份,张崇舜,个人,"张崇舜:1969年8月出生,现任本公司董事长,任中国自行车协会副理事长,江苏省自行车电动车协会副理事长,锡山电动车协会会长,无锡市锡山区企业家协会副会长,担任无锡市第十四届,第十五届人大代表.曾荣获“2003年度无锡市劳动模范”,“2006年度无锡市十佳青年企业家”,“2008年度无锡市优秀民营企业家”,“上海世博会‘世博城市之星’”等称号.",CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装
603788.SH,宁波高发,钱高法,个人,钱高法，2000年至2011年5月，任宁波高发汽车拉索有限公司执行董事、总经理；2011年6月至今，任公司董事长,CSRC汽车制造业,Wind汽车与汽车零部件
603788.SH,宁波高发,钱国年,个人,钱国年，2000年至2011年5月，任宁波高发汽车拉索有限公司副总经理；2011年6月至今，任公司董事、总经理。,CSRC汽车制造业,Wind汽车与汽车零部件
603788.SH,宁波高发,钱国耀,个人,钱国耀，2000年至2011年5月，任宁波高发汽车拉索有限公司监事；2011年6月至2015年3月，任公司副董事长、董事会秘书。2015年3月至今，任公司副董事长、总工程师,CSRC汽车制造业,Wind汽车与汽车零部件
603789.SH,星光农机,钱菊花,个人,"钱菊花,身份证号码:33052219760527****,住所:浙江省湖州市吴兴区凤凰街道,中国国籍.",CSRC专用设备制造业,Wind资本货物
603789.SH,星光农机,章沈强,个人,章沈强：男，1967年出生，中国国籍，大专学历，高级经济师，高级技师，工程师，湖州市人大代表。曾任湖州东林农机厂职员、副厂长、厂长，湖州星光机械厂副厂长，湖州中收星光联合收割机制造有限公司董事长，湖州新家园塑业有限公司监事、湖州星光农机制造有限公司董事长。现任星光农机股份有限公司董事长、总经理，湖州新家园投资管理有限公司执行董事，湖州新能量投资合伙企业（有限合伙）合伙人。,CSRC专用设备制造业,Wind资本货物
603789.SH,星光农机,"章沈强,钱菊花",个人,章沈强：男，1967年出生，中国国籍，大专学历，高级经济师，高级技师，工程师，湖州市人大代表。曾任湖州东林农机厂职员、副厂长、厂长，湖州星光机械厂副厂长，湖州中收星光联合收割机制造有限公司董事长，湖州新家园塑业有限公司监事、湖州星光农机制造有限公司董事长。现任星光农机股份有限公司董事长、总经理，湖州新家园投资管理有限公司执行董事，湖州新能量投资合伙企业（有限合伙）合伙人。钱菊平：男，1978年出生，中国国籍，大学学历，工程师、二级技师。曾任湖州兴隆机械厂职工，湖州星光机械厂职工，湖州中收星光联合收割机制造有限公司车间主任，星光农机股份有限公司生产部部长、销售部部长、副总经理。现任星光农机股份有限公司常务副总经理。,CSRC专用设备制造业,Wind资本货物
603797.SH,联泰环保,黄振达,个人,"黄振达,男,身份证号码:44050019470901****,主要住所:广东省汕头市濠江区",CSRC生态保护和环境治理业,Wind商业和专业服务
